actual_label,behavior_probability,behavior_prediction,drift_score
0,0.010329324,0,0.5505718370264474
0,0.0062683783,0,0.8380986418870622
0,0.001770806,0,0.9242315939957112
0,0.0029280668,0,0.937276626161544
0,0.0035525768,0,0.8388134381701216
0,0.003484732,0,0.806290207290922
0,0.005877881,0,0.6652966404574696
0,0.0021134997,0,0.9567548248749107
0,0.008425358,0,0.5779127948534668
0,0.0036193118,0,0.7441029306647605
0,0.0043736612,0,0.7619728377412437
0,0.011500623,0,0.5464617583988564
0,0.005070402,0,0.8568620443173696
0,0.012463502,0,0.9378127233738385
0,0.00059653685,0,0.9958899213724088
0,0.089516036,0,0.9226233023588277
0,0.0034198195,0,0.8952823445318084
0,0.004098265,0,0.9235167977126519
0,0.0053022876,0,0.811651179413867
0,0.015732259,0,0.4697998570407434
0,0.005927882,0,0.7875268048606148
0,0.013819699,0,0.6059685489635454
0,0.0070727402,0,0.9697998570407433
0,0.10553857,0,0.48570407433881346
0,0.00662054,0,0.6572551822730521
0,0.0041319467,0,0.8842030021443888
0,0.0044610333,0,0.8070050035739814
0,0.013800035,0,0.6250893495353824
0,0.026481766,0,0.98409578270193
0,0.004662933,0,0.7387419585418156
0,0.003906439,0,0.9022516082916369
0,0.003066217,0,0.8552537526804861
0,0.008621398,0,0.956397426733381
0,0.051662717,0,0.6025732666190136
0,0.008271359,0,0.7943173695496784
0,0.0067660734,0,0.9781987133666905
0,0.019067386,0,0.6635096497498213
0,0.004878313,0,0.9440671908506075
0,0.009326823,0,0.836132952108649
0,0.0006586903,0,0.9974982130092923
0,0.037027467,0,0.9142244460328807
0,0.0045965067,0,0.8992137240886348
0,0.019296814,0,0.5875625446747677
0,0.0041844645,0,0.9328091493924232
0,0.010271981,0,0.6740528949249464
0,0.014149161,0,0.7566118656182987
0,0.01775311,0,0.7700142959256612
0,0.0060124756,0,0.8473909935668335
0,0.019960893,0,0.5453895639742673
0,0.013292961,0,0.8674052894924946
0,0.0041264757,0,0.9753395282344531
0,0.013583421,0,0.6669049320943531
0,0.0047907066,0,0.8498927805575411
0,0.0075835977,0,0.8622230164403145
0,0.019735552,0,0.5604002859185132
0,0.0029818746,0,0.9899928520371694
0,0.003244967,0,0.8579342387419585
0,0.0048098783,0,0.7868120085775554
0,0.6081672,1,0.41476054324517514
0,0.003316546,0,0.8352394567548249
0,0.008381936,0,0.7807362401715511
0,0.0067563136,0,0.8929592566118656
0,0.011157506,0,0.775553967119371
0,0.0059677805,0,0.7768048606147248
0,0.00826297,0,0.9051107934238742
0,0.0021741425,0,0.9328091493924232
0,0.011107259,0,0.6149035025017869
0,0.004346837,0,0.9144031451036455
0,0.011075973,0,0.9249463902787706
0,0.004763833,0,0.9267333809864189
0,0.0060255807,0,0.6535025017869907
0,0.0046952046,0,0.9220872051465332
0,0.013285471,0,0.706397426733381
0,0.018487379,0,0.8341672623302359
0,0.89374346,1,0.5620085775553967
0,0.0049966252,0,0.9705146533238027
0,0.003247599,0,0.8926018584703359
0,0.0054697464,0,0.773409578270193
0,0.035810195,0,0.8850964974982131
0,0.007708271,0,0.8497140814867763
0,0.0049419114,0,0.8161186561829878
0,0.0051795417,0,0.8731236597569693
0,0.013260727,0,0.7719799857040743
0,0.0052632387,0,0.7789492494639028
0,0.0033638023,0,0.9483559685489635
0,0.008115461,0,0.7852037169406719
0,0.0076775854,0,0.8264832022873481
0,0.006663604,0,0.8468548963545389
0,0.003478637,0,0.9635453895639743
0,0.010915348,0,0.8795568263045033
0,0.10152638,0,0.8729449606862044
0,0.0009507749,0,0.9823087919942817
0,0.0072381343,0,0.9492494639027877
0,0.005904108,0,0.8407791279485347
0,0.012545664,0,0.9669406719085061
0,0.012334892,0,0.8552537526804861
0,0.005355724,0,0.6690493209435311
0,0.015402554,0,0.8150464617583989
0,0.007408475,0,0.8513223731236598
0,0.013627473,0,0.5741601143674053
0,0.007049338,0,0.8355968548963545
0,0.0031742244,0,0.963902787705504
0,0.008867448,0,0.8809864188706219
0,0.027122,0,0.4513938527519657
0,0.018218398,0,0.8532880629020729
0,0.0069284793,0,0.8552537526804861
0,0.0064267474,0,0.8491779842744818
0,0.008524898,0,0.8325589706933524
0,0.004574381,0,0.9835596854896355
0,0.0050622486,0,0.8506075768406004
0,0.006372468,0,0.7466047176554682
0,0.004079965,0,0.9971408148677627
